collision_type,long,lat,neighbourhood,num_of_collisions
Personal Injury,-79.393255322633,43.7052765812168,South Eglinton-Davisville (174),418
Property Damage,-79.4780584059622,43.7086530745628,Brookhaven-Amesbury (30),711
Property Damage,-79.4855462634672,43.6198171608397,Humber Bay Shores (161),383
Personal Injury,-79.2719768196515,43.8179351773389,Milliken (130),1425
Property Damage,-79.3917756208182,43.7125998654045,Mount Pleasant East (99),786
Property Damage,-79.3958989614117,43.6586942370364,Kensington-Chinatown (78),1099
Property Damage,-79.2387496036089,43.7938636896259,Malvern East (146),847
Fail to Remain,-79.3898406063599,43.6705563198908,Annex (95),1286
Property Damage,-79.5256302718075,43.6441823921454,Etobicoke City Centre (159),1458
Property Damage,-79.3473541525475,43.7824445052818,Don Valley Village (47),655
Personal Injury,-79.2943480366635,43.7972075735257,East L'Amoreaux (148),487
Property Damage,-79.3704035380653,43.6702521690599,Cabbagetown-South St.James Town (71),567
Property Damage,-79.4359696875327,43.6407138901461,South Parkdale (85),1062
Personal Injury,-79.4988193484717,43.6844702155641,Mount Dennis (115),437
Personal Injury,-79.4309027117961,43.6998454677098,Humewood-Cedarvale (106),410
Fail to Remain,-79.3635515943776,43.7697707470996,Bayview Village (52),752
Property Damage,-79.3852217481762,43.6554201753152,Yonge-Bay Corridor (170),1080
